[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[INFO]	Location: X -3.129900 Y 9.340500 Z -2.816300
[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[INFO]	Model Detected: Alien
[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[INFO]	Location: X -3.129900 Y 9.340500 Z -2.816300
[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[INFO]	Model Detected: Alien.003
[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[INFO]	Location: X -6.724600 Y 9.373000 Z -2.816300
[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[INFO]	Model Detected: Alien.002
[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[INFO]	Location: X -6.724600 Y 9.373000 Z -2.816300
[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[INFO]	Model Detected: Column
[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[INFO]	Location: X -3.021600 Y 0.649300 Z -0.987700
[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[INFO]	Model Detected: Planet_1
[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[INFO]	Location: X -4.411000 Y 1.195000 Z 0.000000
[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[MESSAGE]	Game Level File Reading Complete.
[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[INFO]	H2B Imported: Alien.h2b
[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[INFO]	H2B Imported: Column.h2b
[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[INFO]	H2B Imported: Container_Small.h2b
[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[INFO]	H2B Imported: Planet_1.h2b
[Wed Jun 21 17:23:09 2023] ThreadID[23376]	[MESSAGE]	Importing of .H2B File Data Complete.
